Date,Open,High,Low,Close,Volume
1/7/2000,29.125,33.125,28.75,31.125,58158100
1/14/2000,35,36.75,33.3125,33.5625,82951400
1/21/2000,33.75,35.4375,32.6875,32.75,29742300
1/28/2000,33,38,32.375,36.75,65083800
2/4/2000,36.0625,38.5,35.8125,38.125,41176500
2/11/2000,38,39,36.8125,37.875,30601800
2/18/2000,37,37.375,35.3125,35.5,27631600
2/25/2000,35.3125,35.4375,31,31,37383600
3/3/2000,32.3125,36.5,32,36.5,41283500
3/10/2000,35.875,36.75,34.625,35.125,33450900
3/17/2000,33.125,36.9375,33,36.8125,34102100
3/24/2000,37.8125,41.9375,37.6875,41.4375,58073100
3/31/2000,41.5,42.5,39.75,41.25,28933700
4/7/2000,41.4375,41.9375,38.375,41,23585400
4/14/2000,40.75,43.625,37.6875,38.875,31894200
4/20/2000,37.5,42.5,37.0625,42.25,24495600
4/28/2000,41.125,43.625,39.6875,43.625,29597300
5/5/2000,43.5625,43.875,39.25,39.5625,34851400
5/12/2000,39.625,41.75,39.5625,40.80860137939453,19531100
5/19/2000,40.6875,42.875,39.75,41.0625,22468400
5/26/2000,41.1875,41.5,38.1875,39.875,19848400
6/2/2000,40.875,42.5625,40.25,40.4375,21962600
6/9/2000,40.5,42,40,41.5625,18275400
6/16/2000,41.3125,42.25,40.1875,41.1875,20333500
6/23/2000,41.3125,42.0625,39.375,39.625,17089800
6/30/2000,39.8125,40.5,37.75,38.8125,21482400
7/7/2000,38.125,39.1875,36.5,38,19465600
7/14/2000,37.5,38.4375,36,37.4375,21027400
7/21/2000,37.4375,39.3125,35.375,37.4375,24075800
7/28/2000,37.0625,38.5,36.3125,37.875,16453100
8/4/2000,38,43,38,42.4375,36073600
8/11/2000,42,42.125,39.5625,40.625,23106500
8/18/2000,41,41.125,38.75,39.125,15096900
8/25/2000,38.875,39.25,37.4375,38.125,17570500
9/1/2000,37.75,39.8125,37.625,39,16157800
9/8/2000,39.3125,41.5,38.5625,40.25,14981900
9/15/2000,39.8125,40.1875,38.5,39.1875,17237900
9/22/2000,39,39.0625,36.8125,37.4375,16788900
9/29/2000,37.875,39.4375,37.3125,38.25,17182300
10/6/2000,38.75,41.5,38.5,40.6875,22013300
10/13/2000,40.5625,41.9375,38.0625,39.75,23972100
10/20/2000,39.0625,39.125,33.5,36.375,34125000
10/27/2000,36.6875,36.8125,33.875,34.3125,21260300
11/3/2000,35.5,38.25,33.8125,38.0625,23251000
11/10/2000,37.875,38.125,30.8125,31.6875,48016200
11/17/2000,31,32.5,29.6875,30.1875,34845100
11/24/2000,30.5,30.5,28.5,29.75,18725300
12/1/2000,30.375,30.75,27.875,30,26192400
12/8/2000,29.5625,32,29.0625,30.9375,21262400
12/15/2000,31.0625,31.0625,28.25,29.375,30160800
12/22/2000,29.125,29.9375,26,26.4375,33923500
12/29/2000,27,29.125,26.75,28.9375,22504800
1/5/2001,28.125,33.4375,27.625,31.5,33365300
1/12/2001,31.5,31.875,29.3125,31.5625,27139800
1/19/2001,31.9375,34,31.8125,32.6875,22447400
1/26/2001,31.125,31.3125,29.3125,29.8125,37220000
2/2/2001,29.87000084,31.700000762939453,29.56999969482422,30.75,26004200
2/9/2001,30.309999465942383,32.849998474121094,29.809999465942383,31.950000762939453,35123200
2/16/2001,31.950000762939453,32.97999954223633,30.75,32.00999832,26161300
2/23/2001,32,32.099998474121094,29.600000381469727,30.299999237060547,20275200
3/2/2001,30.149999618530273,31.399999618530273,28.68000030517578,29.989999771118164,24726300
3/9/2001,29.780000686645508,30.399999618530273,29.100000381469727,29.719999313354492,26058700
3/16/2001,29.299999237060547,29.389999389648438,26.299999237060547,27.520000457763672,34824400
3/23/2001,27.75,28.229999542236328,26.059999465942383,27.81999969482422,31915900
3/30/2001,28,29.760000228881836,27.25,28.600000381469727,29678300
4/6/2001,28.299999237060547,28.969999313354492,26.469999313354492,28.489999771118164,26731900
4/12/2001,28.489999771118164,29.639999389648438,28.049999237060547,29.09000015258789,15493200
4/20/2001,28.950000762939453,32,28.829999923706055,31.360000610351562,26334200
4/27/2001,31.360000610351562,31.969999313354492,28.579999923706055,30.93000030517578,32307800
5/4/2001,30.799999237060547,31.850000381469727,30.25,30.90999984741211,18674600
5/11/2001,30.90999984741211,31.700000762939453,29.850000381469727,31.270000457763672,18530500
5/18/2001,31.15999984741211,33.25,30.299999237060547,32.599998474121094,32614700
5/25/2001,33.72999954223633,34.79999923706055,32.15999984741211,32.63999938964844,35757700
6/1/2001,32.099998474121094,32.849998474121094,31.190000534057617,31.719999313354492,18470700
6/8/2001,31.600000381469727,32.40999984741211,31.12999916,31.850000381469727,18322400
6/15/2001,31.600000381469727,31.75,29.260000228881836,29.700000762939453,20960200
6/22/2001,29.299999237060547,30.290000915527344,28.299999237060547,29.190000534057617,27888800
6/29/2001,29.190000534057617,29.190000534057617,27.350000381469727,28.889999389648438,30656900
7/6/2001,28.549999237060547,29.020000457763672,27.270000457763672,27.709999084472656,15040200
7/13/2001,27.709999084472656,28.299999237060547,26.809999465942383,28.190000534057617,30880100
7/20/2001,28.600000381469727,28.62000084,26.770000457763672,27,27198500
7/27/2001,27,27.350000381469727,26.030000686645508,27.030000686645508,29230300
8/3/2001,27.270000457763672,27.5,26.18000030517578,26.600000381469727,38170400
8/10/2001,26.700000762939453,27.979999542236328,26.62000084,27.399999618530273,26615100
8/17/2001,27.399999618530273,27.59000015258789,25.100000381469727,25.649999618530273,26187200
8/24/2001,25.700000762939453,26.850000381469727,25.5,26.649999618530273,18461700
8/31/2001,26.799999237060547,26.93000030517578,24.420000076293945,25.43000030517578,19016900
9/7/2001,25.100000381469727,26.049999237060547,23.149999618530273,24.110000610351562,25111000
9/21/2001,23.5,23.989999771118164,15.5,17.87000084,206507800
9/28/2001,18,18.799999237060547,17.12999916,18.62000084,74988800
10/5/2001,18.62000084,20.229999542236328,18.020000457763672,19.200000762939453,52471400
10/12/2001,19.200000762939453,20.489999771118164,18.40999984741211,19.610000610351562,40946500
10/19/2001,19.06999969482422,19.899999618530273,17.809999465942383,18.489999771118164,34334000
10/26/2001,18.260000228881836,19.389999389648438,18,18.709999084472656,35421100
11/2/2001,18.700000762939453,19.100000381469727,18.010000228881836,18.87000084,31789200
11/9/2001,19.25,19.549999237060547,18.049999237060547,18.950000762939453,47668000
11/16/2001,19,21.350000381469727,18.200000762939453,20.760000228881836,70662600
11/23/2001,21.25,21.90999984741211,20.40999984741211,21,38146700
11/30/2001,21.149999618530273,21.5,19.75,20.469999313354492,32772700
12/7/2001,20.469999313354492,22.899999618530273,19.5,22.350000381469727,48460900
12/14/2001,22,22.649999618530273,20.371000289916992,20.969999313354492,41963900
12/21/2001,21.25,21.290000915527344,20.40999984741211,20.68000030517578,47038300
12/28/2001,20.950000762939453,21.149999618530273,20.440000534057617,20.950000762939453,20495700
1/4/2002,20.950000762939453,22.75,20.549999237060547,22.700000762939453,37933500
1/11/2002,22.950000762939453,23.600000381469727,21.600000381469727,21.87000084,40772100
1/18/2002,21.559999465942383,21.799999237060547,20.5,21.200000762939453,32288800
1/25/2002,21.399999618530273,21.90999984741211,20.799999237060547,21.780000686645508,26180200
2/1/2002,22.600000381469727,22.600000381469727,20.020000457763672,22.450000762939453,49516500
2/8/2002,22.459999084472656,23.59000015258789,21.200000762939453,23.420000076293945,41235000
2/15/2002,23.260000228881836,24.389999389648438,23.06999969482422,23.899999618530273,37986500
